melinda_id;original;cleaned;converted;udk_count
000897017;;NA;NA;0
000897022;25;25;Pastoraaliteologia. Homiletiikka. Saarnaoppi. Saarnat. Sielunhoito;1
000897024;25;25;Pastoraaliteologia. Homiletiikka. Saarnaoppi. Saarnat. Sielunhoito;1
000897025;894.541;894.541;Suomenkielinen kirjallisuus;1
000897026;;NA;NA;0
000897027;820;820;Englanninkielinen kirjallisuus;1
000897028;820;820;Englanninkielinen kirjallisuus;1
000897050;;NA;NA;0
000897051;244;244;Japanilainen buddhalaisuus;1
000897052;;NA;NA;0
000897056;839.6;839.6;Norjankielinen kirjallisuus;1
000897081;820;820;Englanninkielinen kirjallisuus;1
000897084;;NA;NA;0
000897090;;NA;NA;0
000897102;551.5;551.5;Meteorologia. Ilmatiede;1
000897103;850;850;Italiankielinen kirjallisuus;1
000897105;929 Castrén;929́;Undetermined;1
000897107;940|809.45;940;809.45;Euroopan historia;Suomalais-ugrilaiset kielet;2
000897109;839.7;839.7;Ruotsinkielinen kirjallisuus;1
000897111;839.6;839.6;Norjankielinen kirjallisuus;1
000897113;;NA;NA;0
000897115;242|252;242;252;Mahajana-buddhalaisuus. Suuri vaunu;Mesopotamian uskonnot;2
000897119;839.8;839.8;Tanskankielinen kirjallisuus;1
000897121;839.8;839.8;Tanskankielinen kirjallisuus;1
000897122;839.8;839.8;Tanskankielinen kirjallisuus;1
000897126;839.8;839.8;Tanskankielinen kirjallisuus;1
000897128;;NA;NA;0
000897129;839.8;839.8;Tanskankielinen kirjallisuus;1
000897130;839.8;839.8;Tanskankielinen kirjallisuus;1
000897132;830;830;Saksankielinen kirjallisuus. Jiddišinkielinen kirjallisuus;1
000897136;840;840;Ranskankielinen kirjallisuus;1
000897142;;NA;NA;0
000897143;;NA;NA;0
000897144;;NA;NA;0
000897145;;NA;NA;0
000897158;820;820;Englanninkielinen kirjallisuus;1
000897159;;NA;NA;0
000897160;;NA;NA;0
000897168;;NA;NA;0
000897173;840;840;Ranskankielinen kirjallisuus;1
000897174;;NA;NA;0
000897176;820;820;Englanninkielinen kirjallisuus;1
000897183;;NA;NA;0
000897187;;NA;NA;0
000897190;;NA;NA;0
000897195;;NA;NA;0
000897200;882|830;882;830;Venäjänkielinen kirjallisuus;Saksankielinen kirjallisuus. Jiddišinkielinen kirjallisuus;2
000897219;;NA;NA;0
000897221;;NA;NA;0
000897226;830;830;Saksankielinen kirjallisuus. Jiddišinkielinen kirjallisuus;1
000897228;;NA;NA;0
000897232;820;820;Englanninkielinen kirjallisuus;1
000897233;;NA;NA;0
000897234;;NA;NA;0
000897235;;NA;NA;0
000897236;;NA;NA;0
000897239;;NA;NA;0
000897242;;NA;NA;0
000897247;;NA;NA;0
000897253;;NA;NA;0
000897255;839.8;839.8;Tanskankielinen kirjallisuus;1
000897261;830;830;Saksankielinen kirjallisuus. Jiddišinkielinen kirjallisuus;1
000897265;839.6;839.6;Norjankielinen kirjallisuus;1
000897266;840;840;Ranskankielinen kirjallisuus;1
000897275;820|840;820;840;Englanninkielinen kirjallisuus;Ranskankielinen kirjallisuus;2
000897279;;NA;NA;0
000897281;;NA;NA;0
000897283;840;840;Ranskankielinen kirjallisuus;1
000897295;;NA;NA;0
000897296;;NA;NA;0
000897317;;NA;NA;0
000897318;;NA;NA;0
000897319;;NA;NA;0
000897320;;NA;NA;0
000897321;237|244;237;244;Undetermined;Japanilainen buddhalaisuus;2
000897341;;NA;NA;0
000897359;;NA;NA;0
000897364;;NA;NA;0
000897365;;NA;NA;0
000897368;;NA;NA;0
000897372;;NA;NA;0
000897375;;NA;NA;0
000897377;;NA;NA;0
000897382;;NA;NA;0
000897383;;NA;NA;0
000897384;;NA;NA;0
000897385;;NA;NA;0
000897387;;NA;NA;0
000897398;39|78;39;78;Perinnetieteet. Etnologia. Kansatiede. Kansanrunous. Folkloristiikka;Musiikki - kansanmusiikki: 78 ja 39 ;2
000897403;839.79;839.79;Suomenruotsalainen kirjallisuus;1
000897414;915|916;915;916;Aasia;Afrikka;2
000897415;839.6;839.6;Norjankielinen kirjallisuus;1
000897416;;NA;NA;0
000897428;894.541;894.541;Suomenkielinen kirjallisuus;1
000897431;;NA;NA;0
000897433;26;26;Kristillinen kirkko. Kirkon hallinto. Kirkko ja yhteiskunta. Ekumenia. Liturgiikka. Sakramentit. Kristillinen kasvatus. Kristilliset järjestöt. Diakonia. Lähetystyö;1
000897434;26;26;Kristillinen kirkko. Kirkon hallinto. Kirkko ja yhteiskunta. Ekumenia. Liturgiikka. Sakramentit. Kristillinen kasvatus. Kristilliset järjestöt. Diakonia. Lähetystyö;1
000897439;;NA;NA;0
000897440;;NA;NA;0
000897443;;NA;NA;0
000897445;378.4|894.541|378.4 Helsingin yliopisto;378.4;894.541;Yliopistot;Suomenkielinen kirjallisuus;2
000897448;;NA;NA;0
000897453;;NA;NA;0
000897456;;NA;NA;0
